iter	Passed	Remaining
0	70	35133
1	71	17683
2	71	11855
3	72	8935
4	72	7187
5	73	6026
6	73	5194
7	74	4565
8	74	4078
9	75	3686
10	75	3365
11	76	3098
12	76	2870
13	77	2676
14	77	2506
15	77	2358
16	78	2229
17	78	2112
18	79	2007
19	80	1920
20	80	1839
21	81	1763
22	81	1691
23	81	1626
24	82	1566
25	82	1510
26	83	1457
27	83	1410
28	84	1365
29	84	1322
30	84	1283
31	85	1247
32	85	1213
33	86	1181
34	86	1151
35	87	1123
36	87	1096
37	87	1069
38	88	1044
39	88	1020
40	89	996
41	89	974
42	89	953
43	90	934
44	90	914
45	90	896
46	91	878
47	91	862
48	91	846
49	92	831
50	92	816
51	93	801
52	93	787
53	93	774
54	94	761
55	94	748
56	94	736
57	95	725
58	95	715
59	96	705
60	96	694
61	96	683
62	97	673
63	97	664
64	97	654
65	98	646
66	98	637
67	98	628
68	99	620
69	99	611
70	99	603
71	100	595
72	100	588
73	100	580
74	101	573
75	101	566
76	101	560
77	102	553
78	102	546
79	102	540
80	103	534
81	103	528
82	103	522
83	104	516
84	104	510
85	104	504
86	105	499
87	105	494
88	105	489
89	106	483
90	106	479
91	106	474
92	107	469
93	107	465
94	108	460
95	108	456
96	108	452
97	109	447
98	109	443
99	109	439
100	110	435
101	110	430
102	110	427
103	111	424
104	111	420
105	112	417
106	112	413
107	112	410
108	113	406
109	113	403
110	114	399
111	114	396
112	114	393
113	115	390
114	115	386
115	115	383
116	116	380
117	116	377
118	117	374
119	117	371
120	117	368
121	118	366
122	118	363
123	118	360
124	119	358
125	119	355
126	120	352
127	120	350
128	120	347
129	121	345
130	121	342
131	121	339
132	122	337
133	122	334
134	122	332
135	123	330
136	123	327
137	124	325
138	124	323
139	124	320
140	125	318
141	125	316
142	125	314
143	126	312
144	126	310
145	127	308
146	127	306
147	127	304
148	128	301
149	128	299
150	128	297
151	129	295
152	129	293
153	129	291
154	130	289
155	130	287
156	130	285
157	131	283
158	131	281
159	131	280
160	132	278
161	132	276
162	132	274
163	133	272
164	133	270
165	133	269
166	134	267
167	134	265
168	134	263
169	135	262
170	135	260
171	135	258
172	136	257
173	136	255
174	136	253
175	136	252
176	137	250
177	137	249
178	138	247
179	138	245
180	138	244
181	138	242
182	139	241
183	139	239
184	139	238
185	140	236
186	140	235
187	140	233
188	141	232
189	141	231
190	142	230
191	142	228
192	142	227
193	143	226
194	143	224
195	144	223
196	144	222
197	144	220
198	144	219
199	145	217
200	145	216
201	145	215
202	146	213
203	146	212
204	146	211
205	147	210
206	147	208
207	147	207
208	148	206
209	148	204
210	148	203
211	149	202
212	149	201
213	149	200
214	150	198
215	150	197
216	150	196
217	151	195
218	151	194
219	151	193
220	152	192
221	152	190
222	152	189
223	153	188
224	153	187
225	153	186
226	154	185
227	154	184
228	154	183
229	155	182
230	155	181
231	155	180
232	156	178
233	156	177
234	156	176
235	157	175
236	157	174
237	157	173
238	158	172
239	158	172
240	159	171
241	159	170
242	160	169
243	160	168
244	160	167
245	161	166
246	161	165
247	161	164
248	162	163
249	162	162
250	163	161
251	163	160
252	163	159
253	164	159
254	164	158
255	165	157
256	165	156
257	165	155
258	166	154
259	166	153
260	167	152
261	167	152
262	167	151
263	168	150
264	168	149
265	168	148
266	169	147
267	169	146
268	170	146
269	170	145
270	170	144
271	171	143
272	171	142
273	172	142
274	172	141
275	172	140
276	173	139
277	173	138
278	173	137
279	174	137
280	174	136
281	175	135
282	175	134
283	176	133
284	176	133
285	176	132
286	177	131
287	177	130
288	177	129
289	178	128
290	178	128
291	178	127
292	179	126
293	179	125
294	179	124
295	180	124
296	180	123
297	180	122
298	181	121
299	181	121
300	182	120
301	182	119
302	182	118
303	183	118
304	183	117
305	184	116
306	184	116
307	185	115
308	185	114
309	185	113
310	186	113
311	186	112
312	186	111
313	187	111
314	188	110
315	188	109
316	188	108
317	189	108
318	189	107
319	189	106
320	190	106
321	191	105
322	191	104
323	191	104
324	192	103
325	192	102
326	192	102
327	193	101
328	193	100
329	193	99
330	194	99
331	194	98
332	195	97
333	195	97
334	195	96
335	196	95
336	196	95
337	196	94
338	197	93
339	197	92
340	197	92
341	198	91
342	198	90
343	198	90
344	199	89
345	199	88
346	199	88
347	200	87
348	200	86
349	200	86
350	201	85
351	201	84
352	201	84
353	202	83
354	202	82
355	202	82
356	203	81
357	203	80
358	203	80
359	204	79
360	204	78
361	204	78
362	205	77
363	205	76
364	205	76
365	206	75
366	206	74
367	207	74
368	207	73
369	207	73
370	208	72
371	208	71
372	208	71
373	209	70
374	209	69
375	209	69
376	210	68
377	210	67
378	210	67
379	211	66
380	211	66
381	211	65
382	212	64
383	212	64
384	213	63
385	213	63
386	213	62
387	214	61
388	214	61
389	215	60
390	215	60
391	216	59
392	216	59
393	217	58
394	217	57
395	217	57
396	218	56
397	218	56
398	219	55
399	219	54
400	220	54
401	220	53
402	221	53
403	221	52
404	221	52
405	222	51
406	223	50
407	223	50
408	223	49
409	224	49
410	224	48
411	225	48
412	225	47
413	226	46
414	226	46
415	227	45
416	227	45
417	227	44
418	228	44
419	228	43
420	229	43
421	229	42
422	230	41
423	230	41
424	231	40
425	231	40
426	232	39
427	232	39
428	233	38
429	233	38
430	234	37
431	234	36
432	235	36
433	235	35
434	235	35
435	236	34
436	236	34
437	237	33
438	237	33
439	238	32
440	238	31
441	239	31
442	239	30
443	240	30
444	240	29
445	241	29
446	241	28
447	242	28
448	243	27
449	243	27
450	243	26
451	244	25
452	244	25
453	245	24
454	245	24
455	246	23
456	246	23
457	247	22
458	247	22
459	248	21
460	248	21
461	249	20
462	249	19
463	250	19
464	250	18
465	251	18
466	251	17
467	252	17
468	252	16
469	253	16
470	254	15
471	254	15
472	255	14
473	255	14
474	256	13
475	256	12
476	257	12
477	257	11
478	258	11
479	258	10
480	259	10
481	259	9
482	260	9
483	260	8
484	261	8
485	261	7
486	262	7
487	262	6
488	263	5
489	263	5
490	264	4
491	264	4
492	265	3
493	265	3
494	266	2
495	266	2
496	267	1
497	267	1
498	268	0
499	268	0
